Name,School,Category
Emily Johnson,Lincoln High School,Intermediate
Michael Smith,Maplewood Academy,Advanced
Sarah Lee,Jefferson Middle,Beginner
David Brown,Franklin High School,Advanced
Jessica Wang,Oakridge High School,Intermediate
Kevin Garcia,Central High School,Beginner
Rachel Kim,Riverdale Prep,Advanced
Daniel Patel,Westwood Academy,Intermediate
Emma Rodriguez,Elmwood Junior High,Beginner
Jason Nguyen,Lakeside High School,Intermediate
Olivia Wilson,Pinecrest Elementary,Beginner
Justin Clark,Summit Middle School,Advanced
Ashley Martinez,Parkside High School,Intermediate
William Taylor,Sunnybrook Elementary,Beginner
Sophia Brown,Springdale Academy,Advanced
Ethan Thompson,Hilltop Junior High,Intermediate
Lily Anderson,Greenwood High School,Beginner
Benjamin White,Brookside Middle School,Advanced
Ava Moore,Willow Creek Elementary,Intermediate
Jacob Carter,Mountainview High School,Beginner
